Age,YearsProgram,Currency,HaveWorkedLanguage,WantWorkLanguage,Salary
,20 or more years,NA,NA,NA,NA
,6 to 7 years,Indian rupees (?),JavaScript; PHP; Python; SQL,Assembly; C++; JavaScript; Python,19086.7714
,11 to 12 years,Polish zloty (zl),Java; JavaScript; TypeScript,C#; Java; JavaScript; TypeScript,22222.22222
,1 to 2 years,NA,NA,NA,NA
,16 to 17 years,U.S. dollars ($),JavaScript; PHP; SQL,C#; JavaScript; PHP; SQL,8.90E+04
,4 to 5 years,NA,NA,NA,NA
,5 to 6 years,British pounds sterling (£),C; Python,Rust; Scala,NA
,Less than a year,Indian rupees (?),C; JavaScript; PHP,Hack; PHP; Ruby,NA
,Less than a year,NA,NA,NA,NA
,7 to 8 years,U.S. dollars ($),Java; JavaScript; SQL; TypeScript,Java; JavaScript; Python; SQL; TypeScript,NA
,6 to 7 years,Euros (€),C++; Objective-C,C; C++; JavaScript; Objective-C; Swift,2365.591398
,20 or more years,NA,C; C#,C; C#; Clojure; Haskell; Scala,NA
,Less than a year,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,4 to 5 years,Euros (€),C; Objective-C; SQL; Swift,Assembly; Rust; Scala,16129.03226
,5 to 6 years,NA,Matlab; Python; R; SQL,C#; Matlab; Python; R; SQL,NA
,6 to 7 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,6 to 7 years,NA,JavaScript; PHP; Ruby,Go,29729.72973
,14 to 15 years,NA,NA,NA,NA
,7 to 8 years,Indian rupees (?),CoffeeScript; Java; JavaScript; Python; SQL; TypeScript,NA,NA
,20 or more years,NA,NA,NA,NA
,10 to 11 years,Canadian dollars (C$),C,C,62878.78788
,9 to 10 years,NA,Assembly; C; C++; C#; Java; JavaScript; PHP; SQL; VB.NET; VBA; Visual Basic 6,Groovy; Java; JavaScript; Matlab; Objective-C; PHP; SQL; Swift; VBA,NA
,20 or more years,U.S. dollars ($),C; C++; C#; Go; Java; JavaScript; Lua; Objective-C; Python; SQL; Swift,C++; C#; Go; JavaScript; Python; SQL; Swift,NA
,2 to 3 years,NA,NA,NA,NA
,7 to 8 years,Polish zloty (zl),NA,NA,NA
,9 to 10 years,Euros (€),C++; C#; Go; Groovy; Java; JavaScript; Matlab; Objective-C; PHP; Python; R; SQL; Swift,C++; C#; Groovy; Java; Matlab; Objective-C; Python; SQL; Swift,NA
,20 or more years,NA,NA,NA,NA
,8 to 9 years,NA,Assembly; C; C#; Java; JavaScript; PHP; Python; Ruby; SQL; TypeScript; VBA,C; C++; Go; Java; JavaScript; PHP; Python; Ruby; SQL; TypeScript; VBA,50451.03093
,1 to 2 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),JavaScript,C; C++; C#; JavaScript; Perl; PHP; SQL,3.50E+04
,20 or more years,South African rands (R),C#; SQL,C#; JavaScript; SQL,NA
,1 to 2 years,NA,PHP; SQL,JavaScript; PHP; Python; SQL,NA
,17 to 18 years,British pounds sterling (£),Java; JavaScript,Java; JavaScript; Scala,68750
,20 or more years,NA,C#; Java; JavaScript; Perl,NA,NA
,Less than a year,Australian dollars (A$),C#; Java; JavaScript; SQL,Assembly; C++; Java; PHP,NA
,5 to 6 years,NA,NA,NA,NA
,9 to 10 years,Euros (€),Java; JavaScript; Scala; SQL,C; Python,51612.90323
,20 or more years,Canadian dollars (C$),NA,NA,56060.60606
,20 or more years,NA,C#; Python; Ruby; VB.NET,C#; JavaScript; Python; Ruby,NA
,5 to 6 years,Euros (€),C#; Java; JavaScript; SQL,C#; Java; Python; SQL,NA
,20 or more years,Canadian dollars (C$),C++; C#; JavaScript; TypeScript,C#; JavaScript; TypeScript,79545.45455
,4 to 5 years,NA,NA,NA,NA
,9 to 10 years,NA,JavaScript; PHP; SQL,C++; JavaScript; Objective-C,NA
,3 to 4 years,NA,Java,Java; Swift,61455.52561
,6 to 7 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,10 to 11 years,Euros (€),Java,Java,37419.35484
,3 to 4 years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),Assembly; C; C++; C#; Erlang; Java; JavaScript; Python; SQL; TypeScript,C; C++; C#; Clojure; Erlang; JavaScript; Matlab; Python; Scala; TypeScript,6.20E+04
,3 to 4 years,Euros (€),JavaScript; Ruby,JavaScript; Ruby,44086.02151
,5 to 6 years,NA,NA,NA,NA
,15 to 16 years,Euros (€),JavaScript; PHP; SQL,Java; TypeScript,NA
,14 to 15 years,Euros (€),JavaScript; PHP; SQL,JavaScript; PHP; SQL,NA
,9 to 10 years,Russian rubles (?),JavaScript,JavaScript,NA
,5 to 6 years,U.S. dollars ($),C; C++; C#; JavaScript; Python; R; SQL; VB.NET,C#; Python; R,5.50E+04
,19 to 20 years,U.S. dollars ($),C#; JavaScript; SQL,NA,9.50E+04
,17 to 18 years,U.S. dollars ($),Groovy; JavaScript; Python; Ruby,Haskell,NA
,20 or more years,U.S. dollars ($),C#; Java; JavaScript; SQL; VB.NET,NA,NA
,2 to 3 years,NA,NA,NA,NA
,2 to 3 years,NA,C; C#; Java; JavaScript; PHP; VB.NET; VBA; Visual Basic 6,Assembly; CoffeeScript; Python; R,NA
,1 to 2 years,NA,NA,NA,NA
,19 to 20 years,NA,NA,NA,NA
,13 to 14 years,NA,NA,NA,NA
,20 or more years,Euros (€),Assembly; C++; Perl; Ruby,Assembly; C++; Ruby,NA
,9 to 10 years,NA,NA,NA,NA
,20 or more years,Canadian dollars (C$),C; C++; JavaScript; Python,C; C++,NA
,1 to 2 years,Indian rupees (?),NA,NA,NA
,18 to 19 years,Euros (€),JavaScript; Python,JavaScript; Python,67204.30108
,20 or more years,NA,JavaScript; PHP; SQL,JavaScript; Objective-C; PHP; Ruby; SQL; Swift,8264.46281
,15 to 16 years,NA,NA,NA,NA
,4 to 5 years,U.S. dollars ($),Lua,C++; Lua; Python,NA
,19 to 20 years,U.S. dollars ($),C++; Java; JavaScript; Matlab; SQL,Assembly; C++; Go; Java; JavaScript; Matlab; Python; R; Scala,1.50E+05
,20 or more years,Euros (€),CoffeeScript; Java; JavaScript; PHP; Scala; SQL; TypeScript,NA,NA
,3 to 4 years,U.S. dollars ($),JavaScript; Ruby; SQL,Clojure; JavaScript; Ruby,6.40E+04
,4 to 5 years,NA,NA,NA,NA
,2 to 3 years,NA,JavaScript; PHP; Python; SQL,C; Java; Ruby; TypeScript,NA
,20 or more years,NA,NA,NA,NA
,2 to 3 years,U.S. dollars ($),C; C++; JavaScript; PHP; SQL,JavaScript; Python; SQL,NA
,20 or more years,NA,Clojure; Erlang,NA,NA
,5 to 6 years,NA,Java; JavaScript; PHP; SQL,Java; JavaScript; PHP; Python; Ruby; SQL,NA
,9 to 10 years,Swiss francs,Java; SQL,Java; SQL,1.10E+05
,2 to 3 years,Euros (€),Matlab; Perl; Python; R,C++; SQL,NA
,2 to 3 years,Euros (€),JavaScript; PHP; Python; TypeScript,JavaScript; PHP; Python,26881.72043
,5 to 6 years,Euros (€),Groovy; Java; JavaScript; PHP; Python; SQL,C++; JavaScript; Python; Rust; SQL,12903.22581
,Less than a year,Russian rubles (?),PHP; SQL,JavaScript; PHP,NA
,8 to 9 years,NA,NA,NA,NA
,8 to 9 years,NA,Assembly; C,NA,NA
,4 to 5 years,NA,NA,NA,NA
,20 or more years,NA,R,JavaScript; R,NA
,9 to 10 years,Canadian dollars (C$),Java; JavaScript; Python; SQL,Java; JavaScript; Python; Scala; SQL,37878.78788
,4 to 5 years,Swedish kroner (SEK),CoffeeScript; Java; JavaScript; PHP; Python,Clojure; JavaScript; Python,NA
,20 or more years,NA,NA,NA,NA
,4 to 5 years,U.S. dollars ($),JavaScript; Python,C; TypeScript,7.50E+04
,4 to 5 years,Indian rupees (?),C; JavaScript; Python,C++; Java,NA
,18 to 19 years,Euros (€),SQL; VB.NET,JavaScript; Python; SQL; VB.NET,43010.75269
,20 or more years,Swedish kroner (SEK),C; C++; C#; Python,C; C++; C#,NA
,12 to 13 years,U.S. dollars ($),PHP; SQL,JavaScript; PHP; SQL,NA
,19 to 20 years,NA,C; C++; JavaScript; PHP; Python; R; Scala; SQL,JavaScript; PHP; Python; R; Scala; SQL,NA
,5 to 6 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),NA,C; Matlab,NA
,4 to 5 years,NA,NA,NA,NA
,4 to 5 years,British pounds sterling (£),C#; Java; JavaScript; SQL,Java; JavaScript; PHP; SQL,26250
,2 to 3 years,NA,NA,NA,NA
,5 to 6 years,Canadian dollars (C$),Java; JavaScript,Java; JavaScript; Python,37878.78788
,20 or more years,U.S. dollars ($),Java; JavaScript; Objective-C; PHP; SQL; Swift; VB.NET,Java; JavaScript; PHP; SQL; Swift,1.28E+05
,20 or more years,NA,Java; JavaScript; Ruby; SQL; TypeScript,Erlang; Go; JavaScript; Ruby; Rust; TypeScript,NA
,3 to 4 years,U.S. dollars ($),JavaScript; Ruby; SQL; TypeScript,CoffeeScript; Haskell; Java; Python,76500
,20 or more years,NA,CoffeeScript; Go; JavaScript; Python; Swift,C#; JavaScript; Lua; Python; TypeScript,NA
,10 to 11 years,Euros (€),C#; Groovy; Java; JavaScript; PHP,C#,14193.54839
,4 to 5 years,Euros (€),C#; Java; JavaScript; TypeScript,Java; JavaScript; TypeScript,24731.1828
,20 or more years,British pounds sterling (£),JavaScript; PHP,JavaScript; PHP; Python,42500
,20 or more years,Euros (€),C#; JavaScript; VB.NET,C#,NA
,5 to 6 years,British pounds sterling (£),Python; R; SQL,Python; Rust,81250
,9 to 10 years,Euros (€),Java; SQL; Visual Basic 6,Java,45161.29032
,6 to 7 years,NA,NA,NA,NA
,1 to 2 years,U.S. dollars ($),Java; JavaScript; Python,CoffeeScript; Elixir; Java; JavaScript; Ruby; SQL; TypeScript,6.00E+04
,15 to 16 years,NA,C; Objective-C,C; Objective-C,NA
,8 to 9 years,NA,JavaScript; Ruby,Java; JavaScript; Ruby; TypeScript,NA
,12 to 13 years,NA,NA,NA,NA
,3 to 4 years,Euros (€),Java; JavaScript; PHP,Java; JavaScript; PHP,NA
,3 to 4 years,NA,C#; SQL,C#; SQL,NA
,Less than a year,U.S. dollars ($),Ruby,Ruby,6.50E+04
,20 or more years,NA,C++; C#; Objective-C,C#; Swift,NA
,11 to 12 years,U.S. dollars ($),Go; Java; JavaScript; Python; SQL,NA,NA
,2 to 3 years,NA,C; JavaScript; Python; SQL; Swift,C; C++; JavaScript; Objective-C; Python; SQL; Swift; TypeScript,NA
,4 to 5 years,NA,JavaScript; Python; Swift; TypeScript,C#; Go; Java; Scala,NA
,1 to 2 years,NA,NA,NA,NA
,2 to 3 years,Brazilian reais (R$),NA,NA,NA
,20 or more years,NA,C#; Java; JavaScript,C#; JavaScript,NA
,6 to 7 years,Euros (€),Assembly; C; Go; Haskell; JavaScript,C; JavaScript,NA
,10 to 11 years,Euros (€),Assembly; C; C++; Java; Matlab; Objective-C; R; SQL,Assembly; C++; R,29677.41935
,5 to 6 years,Euros (€),C++; C#; Java; JavaScript; Python; R; SQL,NA,NA
,2 to 3 years,NA,NA,NA,NA
,2 to 3 years,NA,Python,NA,NA
,4 to 5 years,Indian rupees (?),Assembly; C; JavaScript; Python; Ruby; SQL,JavaScript; Python; Ruby; SQL; TypeScript,NA
,6 to 7 years,NA,NA,NA,NA
,10 to 11 years,NA,C++; Java; JavaScript; Python; R,C++; Java,NA
,3 to 4 years,U.S. dollars ($),C++; JavaScript; Lua; PHP; Python; VB.NET,C++; Python,6.60E+04
,10 to 11 years,Polish zloty (zl),C; C++; Python; R,Julia,NA
,20 or more years,Euros (€),Java; JavaScript,Java; JavaScript,NA
,4 to 5 years,NA,C#,C#,NA
,14 to 15 years,Brazilian reais (R$),Groovy; Java; JavaScript; Objective-C; Scala; SQL,Groovy; Java; Objective-C; Scala; SQL; Swift; TypeScript,27515.92357
,1 to 2 years,Swiss francs,C#; Java; JavaScript; SQL,CoffeeScript; F#; JavaScript; Python,NA
,2 to 3 years,Canadian dollars (C$),PHP,JavaScript; PHP,45454.54545
,20 or more years,Euros (€),Perl; Ruby,Ruby,NA
,5 to 6 years,U.S. dollars ($),C#; Dart; Go; Groovy; Java; JavaScript; Python; SQL; TypeScript,C#; Go; Lua; Rust; TypeScript,7.50E+04
,16 to 17 years,NA,Java; JavaScript; SQL,Java; JavaScript; SQL,NA
,6 to 7 years,NA,NA,NA,NA
,8 to 9 years,NA,C++; C#; Java; JavaScript; SQL,Java; JavaScript; TypeScript,NA
,NA,Euros (€),PHP; SQL,PHP; Rust; SQL,NA
,7 to 8 years,NA,NA,NA,NA
,19 to 20 years,U.S. dollars ($),Assembly; C; C++; Python,Assembly; C; C++; Python,116500
,15 to 16 years,Euros (€),C; C++; Java,C; C++; Java,NA
,1 to 2 years,U.S. dollars ($),Java; JavaScript,Java; JavaScript,1.00E+05
,14 to 15 years,NA,JavaScript; PHP; SQL,C++; JavaScript,NA
,2 to 3 years,NA,NA,NA,NA
,8 to 9 years,Euros (€),Java; JavaScript,Java; JavaScript,17204.30108
,4 to 5 years,Indian rupees (?),JavaScript,Assembly; Java; JavaScript; PHP; Python; R; SQL; Swift; TypeScript,NA
,8 to 9 years,NA,Common Lisp; PHP,Common Lisp,NA
,11 to 12 years,U.S. dollars ($),C; CoffeeScript; Haskell; Java; JavaScript; Python,Assembly; Clojure; Haskell; Python; Rust; Scala; TypeScript,1.20E+05
,14 to 15 years,Euros (€),JavaScript; PHP; SQL; Swift,Java; JavaScript; PHP; SQL; TypeScript,35483.87097
,20 or more years,Euros (€),JavaScript; Smalltalk,JavaScript; Smalltalk,NA
,1 to 2 years,NA,NA,NA,NA
,1 to 2 years,U.S. dollars ($),NA,NA,NA
,8 to 9 years,NA,C; C++; Java; PHP,Assembly; C; C++; Java; Objective-C; Perl; PHP,NA
,3 to 4 years,Euros (€),C++; C#; SQL,NA,NA
,6 to 7 years,Canadian dollars (C$),NA,NA,42424.24242
,8 to 9 years,Indian rupees (?),Java; JavaScript; Python; R; SQL,C++; Go; Scala,1908.67714
,4 to 5 years,British pounds sterling (£),C; JavaScript; PHP; SQL,NA,NA
,20 or more years,Russian rubles (?),C; C++; Lua; Python; Scala,C++; Erlang; Haskell; Rust; Scala,NA
,19 to 20 years,NA,NA,NA,NA
,8 to 9 years,Euros (€),C; C++; Matlab; Swift,C; C++; Swift,NA
,15 to 16 years,Swiss francs,Assembly; C; CoffeeScript; Go; Groovy; Java; JavaScript; Python; Ruby; Rust; Scala,Assembly; Elixir; Erlang; Haskell; Java; Ruby; Rust; Scala,NA
,20 or more years,U.S. dollars ($),C#; Java; JavaScript; TypeScript,C#; JavaScript; TypeScript,1.50E+05
,20 or more years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,8 to 9 years,U.S. dollars ($),Elixir; Haskell; JavaScript; PHP,Haskell,7.80E+04
,3 to 4 years,NA,NA,NA,NA
,19 to 20 years,Swiss francs,C++; C#,Go; Rust,NA
,20 or more years,NA,Assembly; C; C++; C#; JavaScript; PHP; SQL; TypeScript,Assembly; C; C++; C#; JavaScript; PHP; SQL; TypeScript,NA
,4 to 5 years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),NA,NA,NA
,17 to 18 years,U.S. dollars ($),JavaScript; Ruby,Go; JavaScript; TypeScript,4.50E+04
,20 or more years,U.S. dollars ($),Java; SQL,NA,NA
,20 or more years,Canadian dollars (C$),Ruby,Elixir,83333.33333
,2 to 3 years,NA,NA,C++; Matlab,NA
,11 to 12 years,Mexican pesos (MXN$),C#; Java; JavaScript; SQL,C#; Java; JavaScript; Python; SQL,26076.55502
,10 to 11 years,NA,C; C#; Java; JavaScript; PHP; SQL; TypeScript,NA,NA
,10 to 11 years,NA,Matlab; Python; R; SQL,Haskell; Python,NA
,2 to 3 years,NA,NA,NA,NA
,20 or more years,NA,C#; Go; Java; JavaScript; SQL; TypeScript,C#; Java; JavaScript; SQL; Swift; TypeScript,NA
,5 to 6 years,NA,NA,NA,NA
,3 to 4 years,British pounds sterling (£),Java; JavaScript; SQL; VB.NET,NA,NA
,1 to 2 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),C#; Java; JavaScript; SQL; VB.NET; VBA,NA,NA
,20 or more years,Euros (€),Java,Java; JavaScript; Python; Scala,32258.06452
,20 or more years,NA,C; Objective-C; Swift,Go; Haskell; Rust; Swift,47962.46719
,16 to 17 years,Euros (€),Java,Java; JavaScript,64516.12903
,20 or more years,NA,C#; JavaScript; PHP; SQL,C#; JavaScript; PHP; SQL,NA
,17 to 18 years,U.S. dollars ($),Java; SQL,JavaScript; Python; Scala,7.50E+04
,17 to 18 years,Indian rupees (?),C#; Java; JavaScript; SQL; TypeScript,Assembly; C; C++; C#; Erlang; Python; R,NA
,1 to 2 years,NA,NA,NA,NA
,20 or more years,Canadian dollars (C$),C#; JavaScript; SQL,NA,NA
,4 to 5 years,U.S. dollars ($),Java; JavaScript; Matlab; Python,NA,NA
,4 to 5 years,NA,NA,NA,NA
,20 or more years,NA,C++; Java; Python,Java; Python,NA
,2 to 3 years,NA,NA,NA,NA
,13 to 14 years,NA,C++,C++; Haskell; Python,2592.592593
,6 to 7 years,Brazilian reais (R$),C#; Java; SQL,C++; C#; Java; Python; Swift,NA
,9 to 10 years,NA,NA,NA,NA
,1 to 2 years,NA,C++; C#; CoffeeScript; Java; JavaScript; SQL; TypeScript; VB.NET,C++; C#; CoffeeScript; Java; JavaScript; SQL; TypeScript; VB.NET,NA
,5 to 6 years,British pounds sterling (£),C#; JavaScript,NA,NA
,13 to 14 years,Polish zloty (zl),Java; JavaScript; Python; Scala; SQL,Java; Python; Scala; SQL,NA
,20 or more years,NA,C; C++; C#,NA,NA
,8 to 9 years,Canadian dollars (C$),JavaScript; Objective-C,JavaScript; Swift,47727.27273
,14 to 15 years,U.S. dollars ($),C#; R; SQL,C#; R; SQL,173300
,5 to 6 years,NA,NA,NA,NA
,1 to 2 years,British pounds sterling (£),NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,20 or more years,NA,C; C++; Groovy; Java; JavaScript; Lua; Python; SQL,C; C++; Lua; R,NA
,8 to 9 years,U.S. dollars ($),C; C++; Go; JavaScript; Matlab,Elixir; Erlang; Java; Python,7.50E+04
,6 to 7 years,NA,R,R; SQL; Swift,NA
,16 to 17 years,British pounds sterling (£),C; R,C; JavaScript; R; Rust,58750
,7 to 8 years,NA,JavaScript; TypeScript,JavaScript; TypeScript,NA
,1 to 2 years,Indian rupees (?),C++; C#; Java,NA,NA
,20 or more years,U.S. dollars ($),C; C++; C#; Go; JavaScript; PHP; SQL,C; C++; C#; JavaScript; SQL,1.20E+05
,20 or more years,Brazilian reais (R$),C#; JavaScript; SQL; TypeScript,NA,52356.6879
,5 to 6 years,U.S. dollars ($),Java; JavaScript; Python; SQL; Swift,Python; Scala; Swift,NA
,20 or more years,U.S. dollars ($),C#; Java; JavaScript; Python; R; SQL; Swift,C#; JavaScript; Python; SQL,8.00E+04
,5 to 6 years,NA,NA,NA,NA
,15 to 16 years,Euros (€),JavaScript; PHP,Go; JavaScript; Lua,55913.97849
,6 to 7 years,NA,JavaScript; Python; R; SQL,JavaScript; Julia; R; SQL,NA
,20 or more years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,6 to 7 years,Euros (€),Java; JavaScript; Lua; Python; SQL; TypeScript,NA,10752.68817
,Less than a year,U.S. dollars ($),NA,NA,NA
,16 to 17 years,NA,NA,NA,NA
,13 to 14 years,U.S. dollars ($),C#; JavaScript,C#; JavaScript; Python; SQL; TypeScript,15700
,6 to 7 years,Euros (€),Java; PHP; SQL,Java; SQL,36559.13978
,11 to 12 years,Euros (€),JavaScript; PHP; SQL,JavaScript; PHP; Python; SQL,NA
,20 or more years,NA,C#; JavaScript; SQL; TypeScript,C#; F#; JavaScript; TypeScript,NA
,1 to 2 years,NA,R,C++; Python,NA
,15 to 16 years,U.S. dollars ($),JavaScript; SQL,C++,1.35E+05
,11 to 12 years,U.S. dollars ($),C#; JavaScript; SQL; TypeScript,C#; JavaScript; SQL; TypeScript,1.14E+05
,5 to 6 years,U.S. dollars ($),C#; JavaScript; Python,CoffeeScript; JavaScript; Python,84500
,20 or more years,NA,JavaScript; R,C; C++; JavaScript; R,NA
,8 to 9 years,NA,NA,NA,NA
,19 to 20 years,NA,CoffeeScript; JavaScript; Python; R; SQL,JavaScript; Python; R; SQL,NA
,Less than a year,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),SQL,JavaScript; PHP; SQL; Swift,1.30E+05
,1 to 2 years,U.S. dollars ($),JavaScript; SQL; TypeScript,C#; Java; JavaScript; Python; SQL; TypeScript,8.70E+04
,3 to 4 years,NA,C; C++; C#; Java; JavaScript; PHP; Python,Go; Java; JavaScript; Python,NA
,8 to 9 years,NA,JavaScript,Python,NA
,14 to 15 years,U.S. dollars ($),Java; JavaScript; SQL,C++; Erlang; Haskell; Python; R; Rust,8.60E+04
,20 or more years,U.S. dollars ($),C#; F#; JavaScript,C; C++; C#; Erlang; F#; JavaScript; TypeScript,1.20E+05
,14 to 15 years,Euros (€),C#; JavaScript,C#,55913.97849
,7 to 8 years,NA,R,Python; R,NA
,4 to 5 years,U.S. dollars ($),NA,NA,7.50E+04
,4 to 5 years,Euros (€),C#; JavaScript; SQL,JavaScript,17741.93548
,15 to 16 years,U.S. dollars ($),JavaScript; PHP; Python; SQL,JavaScript; PHP; SQL,1.10E+05
,12 to 13 years,NA,CoffeeScript; JavaScript; Ruby; SQL,Elixir; Erlang; Ruby; SQL,NA
,20 or more years,U.S. dollars ($),C; C++; Go; JavaScript; PHP; Ruby; SQL,C; C++; Go,NA
,15 to 16 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,12 to 13 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),Go; Java; JavaScript; PHP; Ruby; SQL,Go,57500
,20 or more years,NA,C; C++; Java; Perl; PHP; Python; R; SQL,Go; Perl; Python; R; Ruby; SQL,NA
,6 to 7 years,Indian rupees (?),NA,NA,NA
,13 to 14 years,U.S. dollars ($),NA,NA,1.65E+05
,17 to 18 years,U.S. dollars ($),JavaScript,NA,1.30E+05
,15 to 16 years,NA,JavaScript; PHP; SQL; VB.NET; VBA,CoffeeScript; JavaScript; PHP; SQL,NA
,18 to 19 years,U.S. dollars ($),Go; Java; JavaScript,C#; Go; Java; JavaScript; Python,1.45E+05
,3 to 4 years,Euros (€),JavaScript,Go; JavaScript,48387.09677
,20 or more years,U.S. dollars ($),JavaScript; Python; SQL,Clojure; JavaScript; Python; SQL,9.00E+04
,15 to 16 years,U.S. dollars ($),Erlang; Java; JavaScript; Ruby; SQL,Elixir; Erlang,1.80E+05
,19 to 20 years,Swedish kroner (SEK),C#; CoffeeScript; F#; Groovy; Haskell; Java; JavaScript; Lua; Python,Haskell; JavaScript; Python,73529.41176
,3 to 4 years,NA,NA,NA,NA
,6 to 7 years,Canadian dollars (C$),Go; JavaScript; SQL,C; Go; Julia; R; Rust; SQL; Swift,81818.18182
,20 or more years,British pounds sterling (£),JavaScript; Python; SQL,JavaScript; Python; SQL,7.50E+04
,17 to 18 years,NA,SQL; VBA,SQL; VBA,NA
,6 to 7 years,British pounds sterling (£),JavaScript; PHP; SQL,C; Swift,31250
,8 to 9 years,NA,NA,NA,NA
,2 to 3 years,NA,JavaScript; Ruby; SQL,Elixir; JavaScript; Ruby; SQL,19834.71074
,19 to 20 years,Euros (€),C#; Java; JavaScript; Objective-C; Python; SQL; Swift,C#; JavaScript; Objective-C; Python; SQL; Swift,49032.25806
,4 to 5 years,NA,JavaScript; PHP; Python; Ruby; SQL,CoffeeScript; Go; JavaScript; Python; Ruby; SQL,NA
,5 to 6 years,Polish zloty (zl),Java; JavaScript; SQL,Java; JavaScript; SQL,2148.148148
,11 to 12 years,Indian rupees (?),Java; Ruby,Java; JavaScript; R,NA
,20 or more years,NA,C#; Java; JavaScript; SQL; TypeScript,C#; JavaScript; SQL; TypeScript,NA
,1 to 2 years,U.S. dollars ($),Java; Python; Swift,JavaScript; Python,3035
,7 to 8 years,NA,C#; Java; JavaScript; Objective-C; SQL; Swift,F#; Python,NA
,11 to 12 years,U.S. dollars ($),JavaScript; Python; Ruby,JavaScript; Ruby; Swift,8.50E+04
,7 to 8 years,U.S. dollars ($),C#; JavaScript; SQL,C#; F#,8.50E+04
,8 to 9 years,NA,Python; SQL,Go,NA
,8 to 9 years,U.S. dollars ($),C++; JavaScript; PHP; Ruby,C++; Common Lisp; JavaScript; PHP; Ruby,NA
,15 to 16 years,NA,C#; SQL,C#; SQL,NA
,20 or more years,British pounds sterling (£),C#; Elixir; JavaScript; Perl; PHP; SQL,C#; Elixir; JavaScript; Perl; PHP; SQL,NA
,3 to 4 years,NA,C; C++; C#; JavaScript; Lua; Objective-C; PHP; Python; SQL,Assembly; Haskell; Objective-C; Swift,NA
,3 to 4 years,NA,Python,Python,NA
,14 to 15 years,NA,Java; JavaScript; Objective-C; PHP; SQL,JavaScript; PHP; Ruby; SQL,NA
,4 to 5 years,U.S. dollars ($),JavaScript,Go; JavaScript,6.00E+04
,20 or more years,Euros (€),Groovy; Java; JavaScript; Python; Scala; TypeScript,Go; Java; JavaScript; Python; Scala; TypeScript,80645.16129
,20 or more years,Euros (€),C#; Go; JavaScript,C#; F#; Go,107526.8817
,20 or more years,NA,C++; PHP; Python; R,Julia; Python; R,NA
,6 to 7 years,U.S. dollars ($),CoffeeScript; JavaScript; PHP; Python; SQL; TypeScript,CoffeeScript; JavaScript; PHP; Python; Swift; TypeScript,1.20E+04
,20 or more years,U.S. dollars ($),JavaScript; Python; SQL,Python; Rust,72480
,20 or more years,Canadian dollars (C$),C#; JavaScript; SQL,C#; JavaScript; SQL,54545.45455
,20 or more years,NA,C#; JavaScript; SQL; TypeScript,C#; F#; JavaScript; SQL; TypeScript,NA
,12 to 13 years,U.S. dollars ($),JavaScript; Python; Ruby,Go,9.50E+04
,20 or more years,Canadian dollars (C$),C++; C#; JavaScript; Python; SQL,C#; JavaScript; Objective-C; Python; Swift,NA
,16 to 17 years,Euros (€),C#; JavaScript; SQL; TypeScript,C#; F#; SQL; TypeScript,33333.33333
,19 to 20 years,NA,JavaScript; PHP; Python; Ruby; SQL,NA,NA
,15 to 16 years,Canadian dollars (C$),JavaScript; PHP,Java,NA
,1 to 2 years,U.S. dollars ($),Java; JavaScript; Python,Java; JavaScript; Python,NA
,9 to 10 years,U.S. dollars ($),C++; Lua; PHP; Python; SQL,C++; F#; Go; JavaScript; Python,9.50E+04
,5 to 6 years,NA,NA,NA,NA
,19 to 20 years,U.S. dollars ($),C++; JavaScript; Python,Java; JavaScript; Python; Scala,1.24E+05
